"D-1 규격, -規格, D-1",,"4분의 3인치(약 19mm) 폭의 테이프를 사용한 카세트식의 디지털 VTR 규격. ITU 권고 601호로 채용, 주로 방송국에서 이용되고 있으며 1986년에 일본 소니사가 D-1 규격의 VTR인 ‘DVR-1000’을 발매하였다. 이 부호화 방식은 컬러 TV 신호를 휘도(Y) 신호와 2개의 색차(R-Y와 B-Y) 신호로 분리, 컴포넌트 색 신호로서 Y 신호, R-Y 신호, B-Y 신호의 표본화 주파수 비를 4:2로 해서 디지털화한다. Y 신호의 표본화 주파수는 13.5MHz이며 양자화는 8비트이다. 카세트 테이프의 최장 기록 시간은 M이 36분, L이 94분이며 현행 TV 신호용 VTR로서는 최고의 화질이다."
"D-2 규격, -規格, D-2",,"현행 컬러 TV 신호용의 방송국용 VTR 규격. 미국과 일본 공동 개발품으로 D-1 규격이 컴포넌트 색 신호를 대상으로 하고 있는 반면, D-2 규격은 복합 색 신호를 대상으로 하고 있다. 결국 휘도 신호와 색차 신호를 분리하지 않은 NTSC 신호 또는 PAL 신호 그대로 디지털화한다. D-1 규격에 비해 화질이 나쁘며 사용 테이프 폭은 4분의 3인치(약 19mm)로 D-1과 같다."
"D2 다중 아날로그 구성 요소, -多重-構成要素, D2-Multiplexed Analog Components, D2-MAC",,"유럽 연합(EU)의 시장 통합에 대비하여 표준화된 아날로그 텔레비전 방식. 유럽의 기존 컬러 텔레비전 방식에는 PAL 방식과 SECAM 방식의 2종류 표준이 있기 떄문에, 기존 텔레비전 수상기로도 시청이 가능한 D2-MAC으로 표준화되었다. 주사선 수 625개, 필드 주파수 50Hz로 기존 방식과 변함이 없다. 주로 위성 방송에 적용할 목표로 개발된 기술로서, 1989년부터 위성 방송을 시작했다."
"D-3 규격, -規格, D-3",,"D-2 규격과 마찬가지로 복합 색 신호를 기록하는 디지털 VTR 규격. 주로 방송국이나 업무용으로 사용되며 테이프 폭은 2분의 1인치(약 13mm)이다. 카메라 일체형 VTR에서 스튜디오용 VTR 및 자동 송출 시스템용까지 동일 규격의 것으로 연결해야 한다. 1992년 바르셀로나 올림픽 대회 및 1996년 애틀랜타 올림픽 대회용 공식 VTR로 채용되었으며 테이프는 도포형 메탈로서 카세트는 S, M, L의 3종이다. 최장 기록 시간은 얇은 테이프를 이용했을 때 각각 64분, 128분 및 246분이다."
"D-5 규격, -規格, D-5",,"D-3 규격을 기본으로 일본 마쯔시타 전기에서 개발한 디지털 VTR 규격. 2분의 1인치(약 13mm) 테이프를 채용한 것으로 D-1 규격과 마찬가지로 컴포넌트 색 신호 방식을 채용하고 있다. 선명 텔레비전(EDTV) 방송 등 화면의 광폭(가로세로비 16:9)화나 위성에 의한 고선명 텔레비전(HDTV) 방송의 본격화 등 방송 환경의 획기적 변화를 고려한 것이다. 영상이나 음성의 표본화 주파수는 D-1 규격과 동일하며, 사용 테이프는 D-4 규격에 준한다."
"D-6 규격, -規格, D-6",,"D-2 규격을 기본으로 개발된 4분의 3인치(약 19mm) 테이프를 채용한 카세트의 고선명 텔레비전(HDTV)용 디지털 비디오테이프 녹화기(VTR) 규격. 1994년 일본 도시바사에서 D-6 규격의 VTR인 ‘GBR-1000’을 제품화하여 세계적으로 공급한 것이다. 유럽 방식의 HDTV용으로 1250방식, 일본 방식(하이비전)의 HDTV용으로 1125방식 등 2개의 규격을 갖추고 있다. 하이비전의 컴포넌트 색 신호를 디지털화한 약 1.2Gbps의 고속 데이터를 8개 채널로 분할하여 1채널당 151.5Mbps로 기록한다. 오디오는 1250방식에서는 12개 채널, 1125방식에서는 10개 채널(스테레오 5개 채널)이며, 오디오 양자화 수는 24비트이고 기록 시간은 최장 1시간이다."
"DAML 서비스, DAML Service, DAML-S",,"시맨틱 웹에서 자동 서비스가 가능한 도구와 기술을 지원하는 DAML+OIL 기반의 웹 서비스 온톨로지. 웹 서비스 제공자에게 웹 서비스의 속성과 기능들을 기술하기 위한 마크업 언어의 핵심 틀을 지원하고, 자동 웹 서비스 검색, 수행, 상호 작용, 구성, 감시 등 웹 서비스를 수행한다."
"DARPA 에이전트 마크업 언어, --言語, DARPA Agent Markup Language, DAML",,"미국 국방부 고등 연구 계획국(DARPA)의 XML 기반 마크업 언어. 객체 및 관계 기술에 XML보다 더 강력하고 문장을 의미론적으로 표현하며 고도의 상호 운용성을 발휘하도록 만들어졌다. DAML 에이전트는 코드화되고 자신의 환경 인식을 유지하며 사용자 지휘 체계로 자율적인 행정력을 가지고 있다. 정보 에이전트, 이벤트 감시 에이전트, 보안 에이전트 등 각각 다른 목적의 에이전트가 있으며, DAML의 의미론적 지식과 자율적인 행정은 인간으로 하여금 많은 양의 데이터를 처리할 수 있게 한다."
"DASH 분산 운영 체제, -分散運營體制, DASH distributed operating system",,미국 캘리포니아 주립 대학 버클리 분교(UC Berkeley)에서 개발한 대규모 분산 처리 시스템을 위한 분산 운영 체계. 1988년에 연구 보고서가 발표되었고 시제품이 완성되었다. 복수의 프로그램 협조 동작에 의한 응용 프로그램의 실행에 필수적인 통신 수단으로는 RMS(Real-time Message Stream)가 채용되었다.
"DB-25 접속기, -接續器, DB-25 connector",,"25개의 핀이 붙어 있는 접속기. DB는 데이터 버스(data bus)를 의미하고 숫자 25는 핀의 수를 나타낸다. DB-25 접속기는 RS-232C 접속에 사용되는 표준적인 케이블 접속기이다. 윗줄 13개와 아랫줄 12개의 핀이 붙어 있는 수접속기(male connector)를 DB-25P 접속기라고 하고 윗줄에 13개와 아랫줄에 12개의 소켓이 붙어 있는 암접속기(female connector)를 DB-25S 접속기라고 한다. 25개 핀 중에서 20개는 신호를 전달하는 데 사용되고 나머지 5개 중에서 2개(9번, 10번)는 모뎀 시험에 사용되며 3개(11번, 18번, 25번)는 할당되지 않은 것이다. 일반적으로 PC 또는 데이터 단말 장치(DTE)를 모뎀이나 데이터 회선 종단 장치(DCE)에 접속하는 데는 DP-25P 접속기가 사용되고 모뎀이나 DCE를 외부에 연결하는 데는 DS-25S 접속기가 사용된다."
