word,synonym,description
"타국 착신 완료 호 수, 他局着信完了呼數, Answered Outgoing Call, ANSWO",,매시간 보고에 사용되는 파라미터. 자국 발신 호 중에서 타국 착신이 완료된 호의 수를 표시한다.
"타깃 광고, -廣告, Target Advertisement",,"시청자의 주 시청 시간대, 선호 채널 등을 분석해서 대상 고객층별로 광고를 하는 방식. 시청자 입장에서도 관심 분야의 선별된 광고를 볼 수 있어 좋고, 광고주는 그만큼 효과적인 광고 집행을 할 수 있어 유리하다."
"타당성 조사, 妥當性調査, feasibility study",,"시스템의 계획 단계에서 그 시스템의 타당성을 조사하는 것. 다음의 4가지 주된 관심사를 고려하여 가능한 한 개발 초기에 조사하는 것이 바람직하다. ㉠경제성:개발 비용에 대한 개발 시스템의 효과 및 이익의 평가. ㉡기술성:개발 시스템의 기능, 수행 능력과 일정 계획상의 제한 사항 등에 대한 조사. ㉢적법성:개발 시스템의 책무와 위반 여부 조사. ㉣대안성:개발 시스템에 대한 대안(alternatives) 연구 조사."
"타워 케이스, tower case",,데스크톱 컴퓨터의 외장 케이스를 세로로 설계하여 책상에 세울 수 있도록 만든 것. 바닥에 누운 형태의 데스크 탑 외장 케이스를 사용할 경우 책상의 공간을 많이 차지하는 단점이 있다. 이를 보완하기 위하여 세로로 세울 수 있도록 설계한 외장 케이스를 타워 케이스라고 부른다.
"타원 곡선 암호 방식, 楕圓曲線暗號方式, Elliptic Curve Cryptosystem, ECC",,"1985년 밀러와 코블리츠가 제안한 타원 곡선 이론에 기반한 공개키 암호 방식. 이산 대수에서 사용하는 유한체의 곱셈군을 타원 곡선군으로 대치한 암호 방식. 특히, 다른 암호 방식에 비해 더 짧은 키 사이즈로 대등한 안전도를 가진다. 예를 들어, RSA 1024 비트 키와 ECC 160 비트 키를 갖는 암호 방식은 대등한 안전도를 가진다는 것이다. 따라서 공개 키 암호 시스템에 적용될 경우 속도를 획기적으로 줄일 수 있어 무선 인터넷을 비롯한 IC 카드 같은 암호 활용에 효과적인 대안이 될 수 있다."
"타원 곡선 전자 서명 알고리듬, 楕圓曲線電子署名-, Elliptic Curve Digital Signature Algorithm, ECDSA",,"전자 서명 알고리듬(DSA)에 타원 곡선 암호(ECC) 방식을 이용한 전자 서명 알고리듬. 160비트의 키를 갖는 암호 방식으로 1024비트의 RSA(Rivest-Shamir-Adelmen) 방식과 대등한 안전성을 가지면서 처리속도를 줄일 수 있어 이동 단말기에 활용된다. DSA, RSA와 함께 미국 전자 서명 표준(DSS: Digital Signature Standard)에 포함되어 연방 정보 처리 표준(FIPS) 186-2로 승인되었다. WTLS, TLS, S/MIME 등의 보안 프로토콜에 포함된 사실 표준이다."
"타원 궤도, 楕圓軌道, elliptical orbit",,"위성이 비행하는 궤도 가운데 장반경과 단반경의 비가 큰 것. 일반적으로 단반경 부근의 위성 고도는 180~200km이며, 장반경은 위성의 목적에 따라서 선택된다. 정지 궤도와 같이 고도가 높은 위성을 발사할 때 제1단계의 원 궤도에서 제2단계의 원 궤도로 올려놓기 위한 중간 궤도인 천이 궤도는 타원 궤도이다. 타원의 이심률(離心率)이 0이 되면 원 궤도가 된다."
"타원 편파, 楕圓偏波, elliptically polarized wave",,위상이 다른 서로 직각인 두 개의 직선 편파를 합성하면 그 합성 전계의 진폭과 방향은 파동의 진행과 함께 변화하여 이것을 임의의 횡단면상에서 보면 타원형을 그리는 파. 위상이 π/2만큼 다르며 진폭이 같을 때 원편파가 된다. 전파에 대해서는 편파라 하나 빛에 대해서는 편광이라 한다.
"타이머 기준 등록, -基準登錄, timer-based registration",,이동국의 현재 위치를 기지국에 자동적으로 알리는 방법으로 카운터가 미리 결정된 값이 될 때마다 이동국이 등록하는 등록 방법.
"타이밍 계전기, -繼電器, timing relay",,서로 연관된 기능을 완성하는 데에 한 단위 이상의 시간 지연을 도입하는 보조 계전기 또는 계전기 단위.
