word,synonym,description
"Q3 인터페이스, Q3 Interface",,"동기식 전송 방식(STM) 장치와 장치를 관리하는 운영 체계 간에 전문(電文)을 주고받는 인터페이스. STM 통신망의 다중화 단국 장치와 접속된 링크 통신망을 감시 제어하는 장치(Network Element Operation System) 간에는 ITU-T의 국제 표준으로 권고되어 있는 Q3 인터페이스를 사용하고 있는데, 이는 각종 운영 인터페이스의 공통화를 목적으로 한 범용의 감시 제어 인터페이스이다. 이 인터페이스를 사용하면 링크 내 전송 버스의 연결을 자동적으로 설정할 수 있는 등의 장점이 있다. ITU-T에 권고되어 있는 Q 인터페이스는 다음과 같이 3가지 하위 등급으로 구성되어 있다. ㉠Q1:중재 기능(MF:mediation function)을 포함하지 않는 NE를 중개 장치(MD)나 시내 통신망(LCN:Local Communication Network)을 경유해서 중재 기능을 포함하는 NE에 연결한다. ㉡Q2:시내 통신망을 경유해서 중개 장치와 중개 장치, 그리고 중재 기능을 포함하는 망 요소를 중개 장치 또는 중재 기능을 포함하는 다른 NE에 연결한다. ㉢Q3:데이터 통신망을 경유해서 중개 장치, 중재 기능과 OS를 포함하는 NE를 운영 체계에 연결한다."
"Q 곱셈기, -器, Q-multiplier",,"헤테로다인 수신기의 선택도는 중간 주파 변성기(IFT)의 성능으로 결정되며, 선택도를 올리려면 IFT 코일의 Q를 높여야 하는데 보통 100~150이 한도이다. 이 한도값 이상의 Q를 얻기 위해서는 코일의 실효 저항을 보상해야 하는데, 이러한 목적을 달성하기 위해서는 외부에 부성(負性) 저항을 가진 회로를 부가할 필요가 있다. 이 목적에 사용되는 회로를 Q 곱셈기라 하며, 주파수 변환부 근처의 중간 주파 변성기에 병렬로 접속해서 사용한다."
"Q 댐핑 회로, -回路, Q damping circuit",,"동조 회로의 공진 곡선은 회로의 Q가 클수록 예민하게 되어 결국 대역폭이 좁아지게 된다. 따라서 동조 증폭의 이득 대역폭 곱은 일정한 값으로 되므로 넓은 대역폭을 필요로 할 때는 이득이 줄어지는 것을 감수해야 한다. 이렇게 하려면 동조 회로에 병렬로 저항(damping용)을 넣어서 Q를 내리면 대역폭이 넓게 되는데, 이러한 목적으로 사용되는 회로를 Q 댐핑 회로라 한다."
"Q 비트, qualifier bit",,제어용 데이터 패킷과 일반 데이터 패킷의 구분을 위하여 사용되는 데이터 패킷 내의 비트. 전송 순서는 Q 비트의 순서에 관계 없이 같다.
"Q 스위칭, Q switching",,"레이저 광 펄스 출력 빔을 만드는 기법의 하나. 레이저 공진기의 Q값이 떨어진 상태에서 여기(勵起)하여 레이저 매질에 충분한 에너지를 축적한 후 갑자기 Q값을 올리면 발진이 시작되어 축적되었던 에너지는 빠르고 예리한 광 펄스로 방출된다. 이러한 Q 스위칭 방법은 높은 피크 출력과 폭이 좁은 광 펄스를 얻는 데 이용된다. 유리 레이저, CO2레이저에서 Q 스위칭을 이용하면 수 GW 이상의 출력을 얻을 수 있다."
"Q 신호, -信號, Q signal",,"NTSC 표준 방식의 컬러 텔레비전에서, 색 정보를 전송하는 크로미넌스 신호(chrominance signal)에 사용되는 색도 신호의 하나. 크로미넌스 신호에는 2개의 색도 신호, 즉 I 신호와 Q 신호가 사용되는데, Q 신호는 컬러 버스트(color burst)에 대하여 147°의 위상각, I 신호에 대하여 직각 위상을 갖는다. Q 신호는 황록-적자축(赤紫軸)과 같은 위상의 신호이며, 색도도(chromaticity diagram)상에서 인간의 색 감각이 예민하지 않은 방향에서 너무 작은 화면의 부분에서는 색을 알 수 없 게 되므로 0.5MHz 정도의 비교적 협대역의 주파수 대역을 사용하여 전송한다. 또한 RGB(적/녹/청) 3색의 컬러 촬상관의 출력 신호 ER, EG, EB를 매트릭스 회로로 다음과 같은 비율로 혼합해서 얻어진다. 즉 Q 신호 EQ＝0.21ER-0.52EG＋0.31EB가 된다."
"Q 약어, -略語, Q code",,"언어가 제각각인 국제 통신에서 원활한 소통을 위해 자주 쓰는 특정한 통신문을 Q로 시작하는 질의·응답 형식의 3문자로 표현한 단축 부호. 모든 업무에 공통된 것과 항공 이동 업무, 해상 이동 업무 등 업무별로 한정된 것이 있다. 우리나라에서는 전파법 시행 규칙 별표에 정해저 있는데, 예를 들면 ""QRA""는 ""귀국명은 무엇입니까?""를 의미한다."
"Q 정합, -整合, Q matching, quarter-wave matching",,"초단파 또는 극초단파 정합 장치의 한 가지. 특성 임피던스가 Z0(순저항)이고 길이가 1/4 파장인 무손실 선로의 수신단에 부하 ZR를 접속하였을 때의 입력 임피던스는 Zin＝Z02/ ZR로 되는 것을 이용하여 그림과 같이 특성 임피던스가 Z01인 선로와 부하 저항 R와의 정합을 취하거나, 특성 임피던스가 Z01, Z03인 2개의 반무한(半無限) 길이 선로의 임피던스 정합을 취할 경우, 이 2개의 선로 사이에 1/4 파장의 선로를 삽입한다. 이 정합부에는 1/4 파장의 선로가 사용된다는 점에서 1/4 파장 정합이라고도 한다. "
"Q 주소, -住所, Q address",동의어 : Q 번지,데이터가 전송되어 나오는 어떤 장치의 내부 기억 장치에 있는 원시 위치.
"Q 주파수대, -周波數帶, Q band",,"관습적으로 사용되는 주파수대의 호칭으로, 33~46GHz, 또는 6~46GHz의 주파수대."
