word,synonym,description
"P1 프로토콜, P1 protocol",,메시지 통신 처리 시스템(MHS)에서의 메시지 전송 에이전트(MTA) 엔티티 간의 프로토콜. P1 프로토콜로 교환하는 정보의 단위를 메시지 프로토콜 데이터 단위(MPDU)라고 한다. ITU-T의 규격 X.411로 규정되어 있다.
"P2P 금융, -金融, Peer to Peer finance, P2P finance",,"전통적 의미의 금융 회사를 거치지 않고 인터넷을 통해 연결된 개인과 개인, 개인과 기업이 직접적인 거래를 수행하는 금융 형태. 금융 소외에 대한 부분적인 해법으로 크라우드펀딩과 같이 창업 등에 필요한 자금을 불특정 다수의 개인들로부터 조달하는 사례가 증가한다."
"P2P 트래픽 지역화, -地域化, Peer to Peer Traffic Localization",,네트워크 트래픽 부하를 줄이기 위하여 P2P를 지역화하는 기술. 늘어나는 트래픽으로 인한 네트워크 부하를 최소화하기 위한 기술로 인터넷 서비스 제공자(ISP)와 P2P 시스템 사이에 피어 위치와 라우팅 정보 공유를 통해서 지역적으로 서로 가까운 거리에 있는 피어들끼리 피어링을 맺도록 해주는 기술이다.
"P2 프로토콜, P2 protocol",,메시지 통신 처리 시스템(MHS)에서의 이용 행위자 실체(UAE) 간의 프로토콜. P2 프로토콜로 교환되는 정보의 단위를 이용 행위자 프로토콜 단위(UAPDU : User Agent Protocol Data Unit) 라고 한다. ITU-T의 규격 X.420으로 규정되어 있다.
"P3P 정책 생성기, -政策生成器, Platform for Privacy Preferences Policy Producer",,"특정 웹 사이트의 개인 정보 보호 정책을 사이트 접속자에게 알려 줌으로써 개인이 자신에 관한 정보를 제공할지의 여부를 결정할 수 있게 하는 개인 정보 보호 기술. 회원 가입이 필요한 사이트에서 주민 등록 번호나 전화 번호 등 개인 신상 정보를 요구할 경우 이 소프트웨어를 구동해 자신의 개인 정보가 다른 업체들의 마케팅에 활용되는지, 어디에 사용되는지를 손쉽게 확인할 수 있다."
"P3 프로토콜, P3 protocol",,메시지 통신 처리 시스템(MHS)에서의 발배신 실체(SDE)와 메시지 전송 에이전트(MTA) 엔티티 간의 프로토콜. P3 프로토콜로서 수수되는 정보의 단위를 오퍼레이션 프로토콜 데이터 유닛(OPDU)이라고 한다. ITU-T의 규격 X.411로 규정되어 있다.
"P5 프로토콜, P5 protocol",,메시지 통신 처리 시스템(MHS)에서의 텔렉스 단말과 텔렉스 접근 유닛 또는 텔레마틱 접근 유닛 간의 프로토콜. ITU-T 규격 X.430으로 규정되어 있다.
"P7 프로토콜, P7 protocol",,"메시지 통신 처리 시스템(MHS)에서의 사용자 에이전트(UA)와 메시지 저장 장치(MS) 간의 프로토콜. 메시지 전송 서비스 요소(MTSE), 메시지 발신 서비스 요소(MSSE) 등의 각종 애플리케이션 서비스 요소(ASE)의 조합으로 실현한다."
"PAL 방식, -方式, Phase Alternation By Line System, PAL",,"독일 텔레풍켄(Telefunken) 회사에서 개발한 유럽 아날로그 컬러 텔레비전 방식. 색상 및 포화도에 관한 정보는 90°의 위상차를 갖고 변조되어 송신되며, 2개의 변조 중 하나는 선에서 선으로 위상을 180° 전환하여 송신한다. 수신기에서 지연선으로 바른 위상 관계를 회복하도록 되어 있다. 전송 일그러짐이 없이 송신되는 이점이 있다."
"PAM 교환 방식, -交換方式, Pulse Amplitude Modulation switching system, PAM switching system",,펄스 진폭 변조(PAM)로 다중화된 음성 등의 신호를 공통의 전송로로 보내어 교환하는 아날로그형 시분할 교환 방식.
"PA 리스크, Precision Architecture Reduced Instruction Set Computer, PA- RISC",,미국 휼렛 패커드(HP)사의 축소 명령 집합 컴퓨터(RISC) 프로세서의 구조. HP사는 1986년부터 이 구조에 대한 비용의 경감을 꾀하는 동시에 성능을 개선하여 업계를 선도해 왔다. PA 리스크의 보급 촉진을 목적으로 HP사가 중심이 되어 결성된 업계 단체인 PRO(Precision RISC Organization)가 1992년에 발족하여 활동하고 있다.
"PC100 동기식 동적 램, -同期式動的-, PC100 Synchronous Dynamic Random Access Memory, PC100 SDRAM",,인텔사의 i440 BX 칩셋에서 이상적으로 동작할 수 있도록 설계된 PC100 규격의 동기식 동적 램(SDRAM). 인텔의 i440 BX는 100MHz의 버스 속도로 동작할 수 있게 만들어졌기 때문에 4-1-1-1 액세스 사이클을 이용한 PC100 SDRAM은 이 환경에서 가장 이상적으로 동작할 수 있다. PC100 SDRAM은 인텔사의 소켓 7 시스템에서 10~15% 성능 향상을 기대할 수 있으나 펜티엄 2나 셀러론(celeron)에서는 L2 캐시 속도가 프로세서의 절반으로 떨어지므로 성능 향상은 기대할 수 없다.
"PCI 버스, PCI bus",,"주변 구성 요소 상호 접속 버스. 미국의 인텔사를 중심으로 한 컴퓨터 관련 업체 백수십 개 회사가 참여하고 있는 PCI(peripheral component inter-connect) 특별 이익 단체에서 제정한 개인용 컴퓨터(PC)의 내부 버스 구조(local bus architecture). 펜티엄 프로세스를 탑재한 PC의 대부분에 PCI 버스가 채용되어 있다. 프로세스와 버스 간에 브리지 회로(bridge circuit)가 있는 구조로 되어 있어서 프로세스의 종류에 의존하지 않고 브리지 회로만 있으면 어떤 프로세스에도 접속될 수 있는 것이 큰 특징이다. 또한 데이터와 주소의 신호선을 하나로 하여 시분할로 출력하기 때문에 유효 선수나 확장 슬롯이 적어도 된다. 클록 주파수는 최대 33MHz, 데이터 버스 폭은 32비트 또는 64비트, 동작 전압은 5V 또는 3.2V이며, 접속 가능 주변 장치는 10개가 권장되고 있다. PCI용의 칩 세트는 인텔 등 수개 사가 공급하고 있다."
