word,synonym,description
"C++ 언어, C plus plus",,"C++ 언어를 확장한 객체 지향 프로그래밍 언어. AT&amp;T 벨 연구소의 B. Stroustrup이 1983년에 발표하였다. C++ 언어 규격을 완전히 만족하여 그 확장 버전(++는 C의 증분 연산자를 나타낸다)으로 설계되어 있다. C++의 프로세스계는 C의 사전 처리기로 개발되기도 하지만 C++ 컴파일러도 있다. 이 언어는 스몰토크(Smalltalk)만큼 객체 지향 언어는 아니지만 C++ 언어와 호환성이 있기 때문에, 애플 컴퓨터회사 및 선 마이크로시스템즈사 등 많은 벤더들이 채택하고 있다."
"C++ 언어, C plus plus",,"C++ 언어를 확장한 객체 지향 프로그래밍 언어. AT&amp;T 벨 연구소의 B. Stroustrup이 1983년에 발표하였다. C++ 언어 규격을 완전히 만족하여 그 확장 버전(++는 C의 증분 연산자를 나타낸다)으로 설계되어 있다. C++의 프로세스계는 C의 사전 처리기로 개발되기도 하지만 C++ 컴파일러도 있다. 이 언어는 스몰토크(Smalltalk)만큼 객체 지향 언어는 아니지만 C++ 언어와 호환성이 있기 때문에, 애플 컴퓨터회사 및 선 마이크로시스템즈사 등 많은 벤더들이 채택하고 있다."
"CAS 지연시간, -遲延時間, Column Address Strobe Latency, CL",,"컴퓨터 기억 장치(memory)의 데이터 처리에 필요한 기억 장치상의 열의 주소를 알려주기 위해 동적 램(DRAM)에 보내는 신호(CAS)의 누락 시간. 기억 장치상의 기억 소자는 열(column)과 행(row)이 격자 모양으로 배열되어 있어 행 주소의 확인에는 행 주소 스트로브(RAS) 신호를 쓰며, 열 주소 확인에는 열 주소 스트로브(CAS)를 이용한다. CAS 지연 시간이란 DRAM에 신호가 보내진 후 데이터가 처리될 때까지 걸리는 시간이다. 일반적으로 CL=2, CL=3과 같이 표시하며 단위는 클록을 사용한다."
"CBC 모드, cipher block chaining",,"각 블록의 평문과 앞 블록 암호문과의 배타적 논리합으로 암호화하는 것으로, 블록 간의 의존 관계를 갖는 이용 모드. 최초의 블록은 직전의 암호문 블록이 없기 때문에 송수신자가 공유하는 초기값을 사용하고, 마지막 블록의 길이가 부족하면 ‘0’ 등의 값을 추가하여 필요한 처리를 한다. 수신 측에서는 암호문 블록을 역변환하여 복호화하고 직전의 암호문 블록과 배타적 논리합을 취하여 평문화한다."
"CCD 카메라, charge-coupled device camera, CCD camera",,"디지털 카메라의 하나로, 전하 결합 소자(CCD)를 사용하여 영상을 전기 신호로 변환함으로써 디지털 데이터로 플래시 메모리 등의 기억 매체에 저장하는 장치. CMOS형 카메라보다는 화질이 우수하나 전력 소모와 가격 면에서 불리하다."
"CCP-AP-SS 케이블, CCP insulated alpeth sheathed self-supporting cable",,지지선과 케이블 본체가 함께 붙은 구조의 CCP-AP 케이블.
"CCP-AP 케이블, CCP insulated alpeth sheathed cable",,CCP 케이블 중 외피에 알페스를 사용한 것.
"CCP-JF 케이블, CCP jelly filled cable",,래미네이트 구조의 CCP 케이블 내 빈 부분에 몰리브덴의 젤리류 혼합물을 충전한 것. 케이블 내부의 침수에 대한 방수성을 갖게 하고 가스 보수가 행해지지 않는 지하 배선 케이블 포설 시 사용된다.
"CCP-JF 케이블 지하 배선 방식, -地下配線方式, CCP-JF cable underground distribution system",,"CCP-JF 케이블을 이용하는 지하 배선 방식. 배선 케이블과 접속점을 함께 직접 매설하는 UG-B 방식, 배선 케이블 및 가입자 인상(引上) 케이블을 보호관에 수용하는 방식 및 케이블 접속 부분에 핸드 홀(hand hole)을 설치하여 관로(管路)식으로 하는 방식 등이 있다."
"CCP-LAP 케이블, CCP laminated aluminum polyethylene cable",,"CCP 케이블의 폴리에틸렌 외피 안쪽에 알루미늄 테이프를 밀착한 구조를 갖는 케이블. 기존의 케이블과 비교하여 기계적 강도, 외피의 수축, 방습 효과 등 각종 특성이 개선되어 있다."
"CCP 케이블, color corded polyethylene cable",,"시내 선로에 사용되는 대표적인 플라스틱 케이블. 심선의 절연체에는 폴리에틸렌을 사용하며, 모든 심선에는 착색이 되어 식별이 가능하게 되어 있다. 외피에는 폴리에틸렌을 피복한 것과 알루미늄 테이프 위에 폴리에틸렌을 입힌 알페스(alpeth)형이 있다."
"CDI 방식, -方式, Cellular Data, Inc., CDI",,"아날로그 셀룰러 이동 전화망에서 패킷 데이터 통신 방식으로 맨 처음 소개된 방식. CDI라는 명칭은 개발한 회사의 이름인 미국의 CDI(Cellular Data, Inc.)에서 왔다. 이 방식은 앰프스 이동 전화 방식(AMPS)의 채널 간격 30kHz 중 양측 보호 주파수대(guard band) 1.5kHz씩, 즉 도합 3kHz의 협대역을 이용하여 데이터를 전송하며 4.8kbps의 전송 속도를 얻는다. 1991년 GTE 이동 통신망에서 시험한 바 있으나 만족스러운 전송 특성을 얻지 못하였고, 그 후에 벨 애틀랜틱(Bell Atlantic) 이동 통신 회사에서 30개 기지국을 설치하여 시험 운용한 바 있으나 업계의 관심을 끌지 못하였다. 현재 사용되지 않는 기술이다."
"CDMA 개발 그룹, -開發-, CDMA Development Group, CDG",,"전 세계적으로 부호 분할 다중 접속(CDMA) 무선 시스템의 채택과 발전을 선도하는 회사들로 이루어진 국제 컨소시엄. CDMA 기술 및 3G에 대한 정보, 전 세계 CDMA 적용 범위 및 가입자 수 증가에 대한 정보뿐만 아니라 최신 뉴스 및 행사 소식 등을 제공하는 단체이다."
"CDMA 디지털 셀룰러 시스템, CDMA digital cellular system",,"부호 분할 다중 접속(CDMA) 방식을 사용하는 이동전화 방식.기존 아날로그 방식(AMP)에 비해 10~20배 정도의 용량 증대가 가능하고, 주파수 계획이 간단(셀(cell)마다 동일한 주파수 사용 가능)하며, 아날로그 시스템이 갖고 있는 난제인 다중 경로 페이딩(multi-path fading)에도 강한 성능을 지니므로 대도시에 적합하다. 퀄컴(Qualcomm) 등 3개사가 제안하였으며, 그 중 퀄컴안이 표준의 근간이 되었다. 시스템 개발에는 AT&amp;T, 모토롤라, NorTel, ETRI 등이, 단말기 개발에는 OKI, 소니, 클라리온(Clarion), NOKIA, 알프스(ALPS)사 등이 참여하였다. 기지국과 단말 기준 공통 무선 인터페이스(CAI) 잠정 표준으로는 IS-95가 1993년 미국 통신 산업 협회(TIA)에 의해 자율 표준으로 채택되었다. 국내에서는 CDMA를 디지털 셀룰러 시스템의 표준 방식으로 1993년 6월 채택하였고, 1994년 4월 시험 통화에 성공함으로써 실용화되었다."
"CDMA 채널, CDMA channel",,주어진 주파수에서 기지국과 이동국으로부터 송신되는 채널 세트.
"CDMA 채널 번호, -番號, CDMA channel number",,CDMA 주파수 할당에 상응하는 11비트 숫자(번호). CDMA 채널의 중심 주파수에 대한 채널 번호를 규정한다.
"CDMA 호출 채널, -呼出-, paging channel-CDMA",,부호 분할 다중 접속(CDMA) 이동통신망에서 기지국이 이동국을 호출하고 제어 정보를 전송하기 위해 사용되는 순방향 CDMA 채널의 코드 채널. &nbsp;
"CD-ROM 드라이브, CD-ROM drive",,"콤팩트디스크(CD)에 기록되어 있는 데이터를 읽고 이들 데이터를 컴퓨터로 전송할 수 있도록 설계된 읽기 전용 디스크 드라이브. CD-ROM에 들어 있는 자료를 읽어 오는 속도는 1배속을 기준으로 하여 2배속, 4배속, 6배속, 8배속, 24배속, 48배속, 52배속 등으로 발전해 왔으며 저장 매체는 DVD-Multi 및 블루 레이 위주로 전환되고 있다."
"CD-ROM 타이틀, CD-ROM title",,"읽기 전용 콤팩트 디스크 기억 장치(CD-ROM)에 담겨 있는 데이터. 즉, CD-ROM에 들어 있는 프로그램, 소리, 글자, 그림들을 지칭하며, CD-ROM이 하드웨어라고 한다면 CD-ROM 타이틀은 소프트웨어에 해당한다. 한편 CD-ROM에 저장된 소프트웨어를 가리키는 말로도 사용된다."
"CD-ROM 확장 아키텍처, -擴張-, Compact Disk-Read Only Memory Extended Architecture, CD-ROM XA",,"1985년 발표된 CD-ROM과 1986년에 발표된 CD-I(영상 기록까지 가능한 CD)를 결합한 이른바 교량 규격. 네덜란드 필립스, 일본 소니, 미국 마이크로소프트의 3사가 1988년에 발표하였다. CD-I의 음성과 영상 규격의 일부를 CD-ROM에서도 사용할 수 있도록 한 것으로, CD-ROM XA 디스크를 CD-I 플레이어로 재생할 수 있다. 그러나 CD-I 플레이어가 예상한 대로 많이 보급되지 않았기 때문에, CD-ROM XA 규격을 채용한 소프트웨어가 많이 출현하지 않았으나 영상 표시 기능이 향상된 미국 3D사의 대화형 멀티 플레이어의 등장으로 CD-ROM XA가 멀티미디어 소프트웨어로 많이 사용되었다.&nbsp;"
"CD 기록 방식, -記錄方式, compact disk recoding",,"기록 가능 콤팩트디스크(CD-R), CD-RW 등 콤팩트디스크(CD) 매체에 데이터를 기록하는 방법. 크게 디스크 단위 기록(Disk At Once)과 트랙 단위 기록(Track At Once)으로 나뉘며, 트랙 단위 기록은 다시 세션 단위 기록(Session At Once)과 다중 세션 기록(Multisession)으로 구분된다."
