"파견 관제, 派遣官制, Dispatch Control",,"보안 관제 서비스 중 하나로 보안 관제 센터에 자체 또는 외부 보안 전문 인력을 상주시켜 보안 관제하는 서비스. 외부에 있는 보안 관제 서비스 기관에서 원격으로 수행하는 원격 관제와 대조되는 서비스로, 원격 관제로 인해 발생할 수 있는 정보 유출 사고를 방지하기 위해 흔히 이용되는 서비스이지만, 보안 전문 인력을 보안 관제 센터에 상주시켜야 하기 때문에 원격 관제에 비해 비용이 증가하는 단점이 있다."
"파괴자, 破壞者, cracker",,허가받지 않은 컴퓨터 시스템에 침입하여 정보를 훔치거나 프로그램을 훼손하는 등의 불법 행위를 하는 사람. 인터넷과 같은 네트워크 시스템의 발전에 따라 불법적으로 시스템의 데이터를 임의로 고쳐 쓰고 삭제하는 등의 악의적 행위를 하여 정보 보안을 위협하기도 한다. ‘위험한 해커(dangerous hacker)’라는 뜻의 ‘데커(decker)’라고도 부른다.
"파괴적 검사, 破壞的檢査, destructive test",,"장비 성능에 대한 시험의 하나로서 시험받는 장비에서 얻어진 성능의 정보로 장비가 못쓰게 되는 원인을 규명하는 시험. 예를 들면, 과도한 전원 공급, 전압, 열을 가했을 경우 이에 영향을 받은 회로나 구성 요소가 파괴되어서 더 이상 쓸 수 없게 되는 원인이 된다."
"파괴적 기억 장치, 破壞的記憶裝置, destructive storage",,어떤 위치의 기억 내용이 한 번 읽히면 계속 기억하기 위해서 읽은 후 그 내용이 재생될 수 있도록 만들어진 기억 장치. 브라운관(CRT) 저장 장치 등 파괴적 형태의 기억 장치들은 대개 계속적으로 기억이 필요한 때에는 내용의 재생이 자동으로 일어나도록 되어 있다.
"파괴적 덧셈, 破壞的-, destructive addition",,"2개의 연산수, 즉 더하임수와 덧수가 덧셈한 합이 원래 덧수가 들어 있던 장소로 들어가 원래 수치를 파괴하는 것 같은 연산."
"파괴적 읽기, 破壞的-, destructive read",,기억 장치에 저장된 내용을 읽을 때 이미 저장된 내용을 지우면서 읽는 것. 이러한 기억 장치는 그 내용을 보존하기 위해 읽기 접근을 할 때마다 그 내용을 다시 써 주어야 한다.
"파괴적 판독 기억 장치, 破壞的判讀記憶裝置, destructive readout memory",,"계산에서 기억 장치로부터 정보를 읽을 때, 읽혀지는 정보가 기억 장소에서 파괴되는 기억 장치. 자기 코어 메모리가 이에 해당된다."
"파국적 고장, 破局的故障, catastrophic failure",,"재해적 고장으로, 돌발적으로 발생하여 그 기능 단위 또는 시스템의 기능을 완전히 정지시키거나 마비시키는 고장."
"파노라믹 영상 시스템, -映像-, panoramic imaging system",,"360도 모든 방향을 주시할 수 있는 영상시스템. 이미 잘 알려진 관광지의 파노라마 경관이외에도, 청소 로봇, 무인 항공기 등에서 지도작성 및 장애물 회피용으로 사용하거나 유명 관광지, 호텔 또는 부동산 매물 등을 인터넷으로 통하여 고객에게 실시간으로 소개하며, 보안, 감시 분야에서도 사용된다. 전방위 영상을 얻는 방법의 하나인 스티칭(stitching)은 두 대 이상의 카메라로 각기 다른 영상을 얻은 뒤 이를 소프트웨어로 부드럽게 연결하는 것으로 사진 등에서 많이 사용되고 있는 반면에, 반사 광학계와 굴절 광학계를 결합한 반사굴절 전방위 렌즈에 기반한 시스템은 특별히 고안된 거울로 모아 온 영상을 소프트웨어적으로 펼쳐 보이는 것으로 실시간 운용도 가능한 장점이 있다."
"파동임피던스, 電波-, wave impedance",,"파동이 자유 공간을 전파할 때 존재하는 고유 임피던스.  선로상에서 단일방향의 전압과 전류의 비로서 정의되는 주파수 신호의 특성임피던스와 유사한 개념이다. 고유 임피던스는 파동의 진행방향에 직각인 전기장과 자기장의 비, 즉 투자율과 유전율의 비의 제곱근으로 표시된다. 자유 공간의 평면파에서 전계 E와 자계 H 사이에는 E＝Z0H(Z0＝376.6)의 관계가 있으며, Z0가 그 임피던스에 해당한다."
