word,synonym,description
"라다 방식, -方式, Random Access Discrete Address system, RADA system",,"몇 개의 주파수와 그 주파수의 펄스 시간 위치를 잘 맞추어 정한 상대국만이 교신할 수 있는 무선 통신 방식의 한 가지. 비밀도가 높고, 주파수의 이용도가 좋다."
"라데온, Radeon",,ATI사의 비디오 그래픽 카드 칩 시리즈의 명칭. 지포스와 마찬가지로 좌표 변화 기능과 광원 처리 기능을 하드웨어로 처리하는 형식으로 출발하였다. 최신 기능을 갖춘 칩을 장착한 그래픽 카드를 고급형으로 판매하다가 시간이 지난 후 저가형 칩으로 다시 판매를 하는 것이 라데온의 판매 정책이다. 경쟁 제품인 지포스와는 달리 고급 제품과 저가 제품의 구별이 명확하지 않는 특징이 있다. →지포스.
"라두가 위성, -衛星, Raduga satellite",,"소련의 정지형 국내 통신 위성으로 전신/전화/사진 전송, TV, 음성 방송 및 신문, 팩스 등의 전송 업무에 사용되고 있다. 북극 지역으로의 통신이 곤란한 몰냐 위성의 커버리지를 보완해서 소련 영토 전역의 통신망 확립을 주목적으로 하고 있다. 소련의 정지형 통신 위성인 Stationar 계열 제1호로서 1975년 12월에 Raduga(무지개)라는 이름으로 발사된 이래 현재까지 19개가 발사, 운용되고 있다."
"라디안, radian",동의어 : 부채각,호도법(弧度法)의 각도 단위. 라디안은 두 길이의 비이므로 단위가 없는 상수이다. 1라디안은 약 57.296이며 기호는 rad이다. 라디안은 원의 반지름과 같은 길이를 갖는 호(弧:arc)가 이루는 각을 말한다. 원주는 2π×반지름과 같다. 그러므로 1라디안=360/(2π)＝180/π＝약 57.2958가 된다. 반대로 도수×π/ 180＝라디안 수가 된다. 360도＝2π라디안이다.
"라디오 고니오미터, radio goniometer",,"무선 방향 탐지기로서의 각도 측정기. 벨리니토시(Bellini-Tosi) 방식은 2개의 루프 안테나를 직각으로 배치하고, 고니오미터의 2가지 자기장 코일에 각각 접속한다. 자계 코일에 유도 결합된 서치 코일을 회전시켜 방위 정보를 얻는다."
"라디오 덕트, 電波-, Radio Duct",,초단파(VHF) 이상의 주파수의 전파가 그 속에 갇혀 비정상적으로 적은 감쇠로 원거리 까지 전송이 가능한 닥트형태의 대기의 층. 표준상태의 대기는 높이에 따라 유전율이 감소하는 데 어떤 기상상태에서는 이와 반대의 경향을 보이는 대기층이 발생한다. 이러한 대기층을 라디오 닥트라고 한다. 초단파 이상의 전파가 라디오 닥트를 통과할 경우 감쇠가 적어 원거리까지 전송이 가능하다. 여름철 일본 티브이(TV) 방송이 동해안에서 수신되는 현상이 라디오 닥트의 대표적인 사례이다.
"라디오 데이터 시스템, Radio Data System, RDS",,"FM 방송 주파수 대역 내에 교통 정보 등 데이터를 중첩하여 방송하는 시스템.  FM 방송의 주파수 스펙트럼은 주 채널인 좌우 합신호(L+R:0~15kHz), 스테레오 파일럿 신호(19kHz), 부 채널인 좌우 차신호(L-R:23~ 53kHz)로 되어 있는데 이보다 높은 주파수, 즉 57kHz, 67kHz, 92kHz에 보조 채널을 설정하고 서비스할 수가 있다. RDS는 57kHz의 보조 채널을 사용한다. 전송 속도는 1,187.5bps이며 교통 정보 등 문자 정보 서비스 같은 프로그램의 방송을 자동 추적하여 수신을 자동화하는 시스템, 페이징 등에 이용되고 있다. 67kHz나 92kHz는 디지털 오디오 방송(DAB)에 의한 음악방송에 이용된다. 1980년대 후반부터 유럽에서 실용화되었으며 1998년에는 미국의 RDBS(Radio Broadcast Data Service) 표준과 통합되었다. 국내에서는 1993년에 RDS를 FM 부가방송표준방식으로 결정하였다."
"라디오 로봇, radio robot",,"무선 조정 인조 인간이라는 뜻으로, 무인국(無人局)에서 그곳에 사람이 있는 것과 마찬가지로 일정 시간마다 또는 모국(母局)의 무선 지령에 따라 전파를 발사하는 장치. 산중, 산간의 하천 유역 등 사람이 항상 주재하지 못하는 곳에 설치하여 강우량, 수위, 풍속, 풍압, 풍력 등이 시시각각으로 변하는 상황을 원격 측정기(텔레미터)로 측정하여 전파에 실어 전송하는 것이다. 기상청, 건설 교통부, 전력 회사 및 도청, 기타 기관의 기상 관계, 수방(水防) 관계의 데이터 수집에 널리 사용되고 있다."
"라디오 방송 회선, -放送回線, radio program circuit",,"라디오 방송 프로그램을 중계하기 위한 회선. 전화 회선과 비교할 때 주파수 대역, 잡음, 일그러짐률 등에 대한 엄격한 규격이 요구된다. 펄스 부호 변조(PCM) 통신 방식으로 4호 규격은 15kHz 대역폭, 3호 규격은 12kHz의 대역폭을 갖는다."
"라디오 버튼, radio button",,"윈도나 대화 상자의 선택 영역에서 어느 하나를 선택 또는 취소하기 위해 사용되는 버튼. 선택 버튼과 같은 의미로 사용되며, 일련의 선택 사항 중 한 번에 하나씩만 선택하게 되어 있다. 반면 또 다른 선택 수단인 체크 박스는 동시에 여러 개를 선택할 때 사용된다."
