"G7 프로젝트, G7 project",,우리나라 과학 기술을 ‘2000년대에는 선진 7개국(G7) 수준으로 진입시킨다’는 목표 아래 범 부처적으로 추진되고 있는 선도 핵심 기술 개발 사업.
"GaN 트랜지스터, Gallium Nitride Transistor",,질화 갈륨 트랜지스터. 기존의 실리콘 계열의 트랜지스터보다 효율이 높고 전력 소모가 적은 차세대 트랜지스터로 이동 통신이나 와이브로 같은 모바일 기지국 증폭기용으로 사용이 확대되고 있다. 가격이 높은 것이 단점이다.
"GDDR 메모리, Graphics Double Data Rate memory, GDDR",,"컴퓨터 게임기 등에 탑재되어 영상과 그래픽 데이터를 처리할 수 있는 디스크 메모리. 범용 디지털 디스크 기록기(DDR)보다 많은 용량의 데이터를 한꺼번에 처리할 수 있어 속도가 빠른 것이 장점이다. 5세대인 1 기가비트(Gb) GDDR5가 개발된 이후, 많은 양의 데이터를 빠르게 처리할 수 있게 되어 컴퓨터 게임과 그래픽스 디자인의 품질 향상은 물론 디지털 비디오 녹화기(DVR)인 블루 레이나 풀 HD급 영상 처리 기기 등에서도 사용된다."
"GIF+PHP 해킹, GIF+PHP Hacking",,"PHP로 구축된 대상 웹 사이트가 이미지 파일 올려주기를 허용하는 경우 GIF+PHP 파일을 서버에 올려주기한 후 local include 취약점이나 이미지 뷰 기능을 이용해 사용자의 계정 정보를 획득하는 공격 방법. 주로 사용자 아바타 기능, 포토 갤러리 기능, 블로그/게시판/커뮤니티 스킨 기능 등 이미지 파일 올려주기 및 뷰가 원활한 사이트에 자주 사용되는 기법이다."
"GIFAR 파일 공격, -攻擊, GIFAR File Attack",,"이미지 파일인 GIF와 자바 애플릿인 JAR가 혼합된 형태의 파일인 GIFAR 파일의 올려주기 취약점을 이용한 공격. 웹 서버에서는 일반 GIF 파일과 똑같이 보이기 때문에 이미지 파일로 처리되지만, 브라우저의 자바 가상 머신은 자바 파일로 인식하고 애플릿 형태로 구동됨에 따라 공격자는 피해자의 브라우저에서 자바 코드를 구동시킬 수 있다. 이를 이용해 로그인한 사용자의 계정 정보를 획득한다."
"GOTO문, -文, GOTO statement",,"어떤 조건에 따라 프로그램의 정상적인 수행 순서를 바꾸어 특정 위치로 분기하는 명령어. 무조건 분기 명령이라고도 한다. 프로그램이 실행되는 위치를 강제적으로 변경시킬 때 사용된다. 예를 들어, 프로그램을 처리할 때 건너뛰기문을 만나면 모든 실행을 중단하고 이 문에 따라 행선지가 표시된 곳으로 건너뛰어 옮기도록 한다."
"GPS 전파 방해, -電波妨害, GPS Jamming","동의어 : GPS 재밍, GPS 전파 교란","위성 위치 확인 시스템(GPS)이 사용하는 주파수로 전파 방해(jamming, 재밍) 신호를 발사하여 GPS 수신을 방해하는 행위. 전파를 교란하는 방법은 연속파(continuous wave) 형태나 펄스 형태의 재밍 신호를 방사함으로써 특정 주파수나 전파의 사용을 방해하는 교란 형태와 허위 정보를 전송하여 잘못된 위치나 시각 정보를 제공하는 방법 등이 있다."
"GPS 지원 측위, -支援測位, Assisted GPS, AGPS",,"인공위성에서 보내는 위치 정보를 단말기 내에 내장된 칩이 읽어 기지국에 알려 주는 측위 기술. 위성 위치 확인 시스템(GPS)의 위성을 사용할 경우라도 도심 지역이나 실내에서는 정확도와 사용성이 떨어지기 때문에 이러한 단점을 보완하기 위하여, 기존의 네트워크 방식과 결합한 방식이다. 즉, 단말기는 위성과 무선 네트워크 기지국으로부터 측위를 위한 측정치를 수집하여 위치를 측정하거나 수집된 정보를 위치 측위 시스템인 PDE에 보내고 PDE에서는 단말기에서 보낸 정보와 기지국에서 생성된 정보를 혼합하여 단말기 위치를 측정한다."
"GR인증, -認證, Good Recycled Certification",동의어 : 우수 재활용 인증,"우수한 재활용 제품의 품질을 인증해 주는 제도. 자원재활용 녹색기술 개발을 통해 품질이 우수한 재활용 제품을 정부가 인증함으로써, 그동안 소비자가 외면하던 재활용 제품의 품질을 향상해 소비자의 불신을 해소하고 그 수요를 확대하기 위한 제도이다. 자원 순환과 에너지 절감을 꾀하여 저탄소 녹색성장에 일조하는 정부 직접 인증제도이다."
"GS 인증, -認證, Good Software, GS",,"국제 표준(ISO/IEC 9126-2, 25051)에 따라 소프트웨어의 품질을 종합적으로 평가하여 철저한 시험을 통해 품질이 우수한 제품에 인증을 부여하는 인증 제도. 소프트웨어 품질 향상을 목적으로 하며 시험 기간 동안 인증 기준에 부합되지 않는 사항 발생 시, 결함을 시험 의뢰 기업에게 보고하여 수정할 수 있는 기회를 제공한다. GS 인증 기관으로 한국정보통신기술협회(TTA)와 한국산업기술시험원(KTL)이 지정되어 있다. TTA는 모든 분야, KTL는 7개 분야 소프트웨어(임베디드 운영 체계(OS), 산업용 소프트웨어 등)을 대상으로 인증이 가능하다. 인증 받은 소프트웨어는 조달청 제3자 단가계약 체결 및 나라장터에 등록할 수 있고, '중소기업진흥 및 제품구매촉진에 관한 법률'에 의해 정부 우선구매 대상이 된다. "
"G 선로, -線路, G-line",,"표면파 전송 방법으로 텔레비전 신호를 전송하는 전선. 산 정상부에서 텔레비전 신호를 수신해서 수신이 곤란한 난시청 지역에 TV 신호를 보내는 데 사용된다. G 선로는 1장의 도체판 표면에 폴리에틸렌 등 유전체의 얇은 피막을 씌운 것으로서 초단파(VHF), 극초단파(UHF), SHF대의 전파를 전송하는 성질을 이용한 것이다. 전송 손실은 동축 케이블보다 적고 도파관 정도나 선로 도중의 지지물, 눈이나 비의 영향 때문에 주로 근거리 TV 공시청 장치용으로 사용되고 있다."
"G세대, -世代, G-generation",,"1988년 전후로 태어난 세대로서, 푸른색을 뜻하는 Green과 세계화를 뜻하는 Global의 첫 글자인 G를 따서 이름 붙인 세대. 인터넷과 함께 자라난 세대로, 넘치는 자신감을 바탕으로 합리적인 판단을 지향하고, 개인주의적 사고를 통해 도전과 목표를 즐길 줄 아는 세대이다."
"G전이, -轉移, Green transformation",,"전통 산업에 녹색 성장의 개념을 도입하여 새로운 형태의 신성장 비즈니스로 탈바꿈하는 것. 기존 산업에 그린 오션 개념을 더하여 전통 산업을 강화하는 것으로 제품과 기술, 기업의 체질과 업무 과정까지도 변환시킨다."
"G-클라우드, Government Cloud, G-Cloud",," 정부 통합전산센터가 늘어나는 정보 자원을 효율적으로 처리하기 위해 클라우드 컴퓨팅 기술을 이용하여 구축한 범정부 공동 활용형 정보자원 시스템. 정부통합전산센터가 모든 정부부처를 대표해 장비와 소프트웨어를 일괄 구축하고, 이를 가상화 기술로 각 부처에 제공하게 되므로 비용은 크게 줄고 부처 간 중복 투자 위험도 사라지게 된다."
"G 팩스 규격, -規格, G fax standard",,"ITU-T에서 팩스를 그룹1(G1)에서 그룹4(G4)까지 4종류로 분류한 규격. 각각의 기술은 ITU-T 권고 T계열로 규정되어 있다. G1/G3까지는 아날로그 전화 회선을, G4는 종합 정보 통신망(ISDN)과 같은 디지털 회선을 이용하는 것이다. G1은 6분기(機)라 부르는 저속도 기기이고 G2는 3분기의 중속도 기기이며, G3는 1분/20초기라는 고속도 기기이다. G4는 G3보다 고속의 고기능 기종이다. 각각의 규격에는 부호화 방식, 해상도, 데이터 전송 프레임 구성 및 제어 방식이 결정되어 있다. G1/G2는 거의 사용되지 않고 있으며 G3는 가장 많이 사용하는 기종이다."
