"AAA 서버, Authentication Authorization Accounting server, AAA server",,"사용자의 컴퓨터 자원 접근 처리와 서비스 제공에 있어서의 인증(Authentication), 인가(Authorization) 및 과금(Accounting) 기능을 제공하는 서버. 일반적으로 네트워크 접근과 게이트웨이 서버와의 상호 작용을 통하여 사용자 정보가 있는 데이터베이스와 디렉터리에 상호 작용한다."
"ABC 스위치 상자, -箱子, ABC switch box",,"여러 장치를 공유하기 위해 사용하는 장치. 다수의 컴퓨터가 하나의 프린터를 공유하거나 하나의 컴퓨터가 다수의 프린터를 공유하게 하는 장치이다. 기타 병렬, 직렬, 스카시(SCSI) 응용 프로그램에서도 사용된다."
"ACID 특성, -特性, Atomic, Consistent, Isolated, Durable, ACID",,"데이터베이스에 대하여 원자성(Atomic), 일관성(Consistent), 고립성(Isolated), 영속성(Durable)을 가져야 하는 트랜잭션의 특성. 원자성은 더이상 분류할 수 없는 작업단위이며 트랜잭션내 모든 단계에서 모두 성공하거나 실패해야 하는 특성이며, 정합성은 데이터베이스를 하나의 안정된 상태에서 다른 안정된 상태로 가져가야 하는 특성이며, 고립성은 임의의 트랜잭션이 동시에 실행되는 다른 트랜잭션에 영향을 주어서는 안되는 특성이며, 내구성은 무결성을 유지하기 위해 재구성될 수 있도록 로그를 드라이브에 유지해야 하는 특성이다."
"ADSL 단말 장치, -端末裝置, ADSL Transceiver Unit, ATU",,"ADSL 서비스를 제공하는 단말 장치로 ATU-C(ATU at central office end)와 ATU-R(ATU at the remote terminal end)로 구분된다. ATU-C는 비 대칭 디지털 가입자 회선(ADSL) 가입자망의 전화국 쪽에 설치되는 종단 장치의 일종이며 ATU-R은 가입자망의 가입자 쪽에 설치되는 모뎀이다. ATU-C는 전화국과 같이 전화선이 집중되어 관리되는 중앙 서비스 부분에 위치하는데, 이 장비는 가입자 장치인 「ATU-R(ADSL Terminal Unit-Remote)」와 연결돼 ADSL 서비스가 이뤄지는 실제 ADSL 서비스 장비다. ATU-C 장비로는 DSLAM(DSL Access Multiplexer)이 대표적이며 DSLAM은 전화선상의 ADSL 데이터 서킷을 다중화해 전송하는 일종의 다중화 장비이다. ATU-R은 ATU-C의 모뎀과 연결하기 위한 ADSL 모뎀으로, 보통 모뎀 기능 뿐 아니라 라우터, 브리지 등의 기능을 지원해 원격지 네트워크를 연결할 수 있게 해준다. →비 대칭 디지털 가입자 회선 "
"ADSTAR 분배 관리 시스템, -分配管理-, ADSTAR Distributed Management System, ADMS",,"회사 내에 있는 저장 장치들을 관리해 주는 IBM사 소프트웨어 제품의 총체.&nbsp; 모든 저장 장치의 백업과 데이터베이스 포맷을 지원하며, 모든 고객들이 저장 장치를 하나의 광범위한 도구로 보고 관리하게 해주므로 기업 전체 수준의 백업을 가능하게 하여 각 개인의 개인용 컴퓨터(PC)나 네트워크에 흩어져 있는 데이터를 일일이 저장해야 하는 번거러움을 없앤다."
"AEN 측정용 통화 표준 장치, -測定用通話標準裝置, Appareil de Reference pour la Determination des AEN, ARAEN",,"ITU-T 연구소에 설치되어 있는, 기준치 통화계, 통화 품질 또는 전송 품질의 측정에서 측정치의 객관성을 높이기 위한 기준 통화계에서 명료도 등가 감쇠량(AEN)을 측정하기 위한 장치."
"AIX 운영 체계, -運營體系, AIX operating system",,"IBM판 유닉스를 가리키는 말. 줄여서 AIX라고도 한다. AIX 운영 체계는 버클리판 유닉스(BSD)와 호환성이 있다. PC(PC/2, PC/55), 엔지니어링 워크스테이션 RS/6000, 메인 프레임(System/390)용으로 제공된다. 개방형 소프트웨어 재단(OSF)의 AES (Application Environment Specification)에 준거하고 있으며 OSF의 독자적인 시스템 응용 체계(SAA)와의 상호 운용성도 제공한다."
"ALL-IP 망, -網, ALL-IP Network",,"인터넷 프로토콜(IP)을 기반으로 한 망 구조. 차세대 통신망은 유무선이 통합되고, 방송과 통신의 구분이 없어지는 광대역 통신망이 등장해 모든 서비스가 하나로 융합되어 멀티미디어로 제공되는 환경으로 진화를 거듭하고 있으며, 이들 서비스를 원활하게 지원하기 위해서는 All-IP 망이 필수적이다. 다른 종류보다 IP 패킷이 많은 양의 데이터를 전송할 수 있어 대용량의 멀티미디어 서비스를 쉽게 지원할 수 있다."
"AM-PM 전송 방식, -傳送方式, AM-PM transmission system",,"화상 신호의 흑 또는 백 신호의 반복을 N개마다 구분하고, 각 신호를 보통 진폭 변조(AM) 신호의 포락선에 대응시킴과 동시에 각 포락선 내의 위상을 발생 순서에 따라 순차적으로 2π/N씩 변화시키는 변조 방법."
"AND 게이트, 論理-素子, AND gate",,2개 이상의 입력과 하나의 출력을 갖는 논리 회로. 모든 입력이 ‘1’ 상태일 경우에만 출력이 ‘1’ 상태가 된다.
"ANI 콜백 서비스, ANI callback service",,발신 번호 자동 식별(ANI) 서비스를 이용하여 걸려 온 전화로 통화하게 해 주는 서비스. 전화 가입자가 이 서비스에 전화를 걸면 서비스는 발신자 번호를 자동 식별하여 전화 가입자에게 전화를 건다. 전화 가입자가 전화를 받아 전화할 상대편의 다이얼을 돌리면 통화가 이루어지는데 이 경우 통화 요금은 정상 요금에 비해 저렴하다. 일반적으로 전화는 수신에는 요금을 물리지 않고 발신 시에만 요금을 부과한다.
"ANSI 소위원회 X3S3, -小委員會-, ANSI subcommittee X3S3",,"미국 표준 협회(ANSI)의 컴퓨터와 정보 처리 분과 위원회 X3 산하에 있는 소위원회. 통신 시스템에 사용하는 디지털 데이터를 생성하거나 수신하는 시스템의 특성을 정의하고 데이터 통신의 표준들을 개발하여 추천한다. 데이터 통신에서 한 문자 내의 비트 형식과, 계층적 그룹에서 문자의 형식을 정의하는 일과, 데이터 시스템에서 데이터 연결의 제어 이외에 필요한 기능적 제어 요구 사항 및 절차의 개요를 정하는 일을 하고 있다."
"AOE 네트워크, Activity-On-Edge network, AOE network",,"간선은 수행되는 작업과 시간을 나타내고, 정점은 작업의 완료를 알리는 사건을 나타내는 방향 그래프. 이 형태의 작업 계통도는 여러 유형의 프로젝트 성능 평가에 매우 유용하다. 즉, 프로젝트를 완료하는 데 소요되는 최소 시간, 또는 어떤 작업을 먼저 끝내야 전체 공정이 단축되는지 등을 프로그램 평가 검토 기법(PERT)이나 임계 경로법(CPM)과 같은 여러 기법으로 프로젝트의 작업 계통도 모델을 평가하기 위해 개발되었다."
"AOV 네트워크, Activity On Vertex Network, AOV network",,"정점이 작업을 나타내고 그 간선이 작업간의 우선 순위 관계를 나타내는 방향 그래프. 주목적은 위상적 순서(topological order)를 찾아내는 것이며, 이 때문에 순차적 작업을 요하는 부품 조립(선박, 비행기) 등의 분야에서 많이 응용되고 있다.선행자(predecessor)란 어떤 작업을 하기 전에 해야 하는 작업을 말하는데, 위의 그래프의 경우 ㉣작업을 하기 전에 ㉠작업을 먼저 해야 하고, ㉤작업을 하기 전에 ㉠,㉡,㉢작업을 먼저 해야 한다. 이 때 ㉢작업은 ㉤작업의 즉각 선행자(immediate predecessor)라고 한다. 후행자(successor)란 어떤 작업 다음에 해야 할 작업을 의미하고, 예를 들면 ㉢작업을 한 후엔 ㉤,㉥,㉦작업을 해야 한다. 이 때 ㉤작업은 ㉢작업의 즉각 후행자(immediate successor)가 된다."
"APE 파일 형식, -形式, APE File Format",,멍키스 오디오(Monkey’s Audio)사에서 배포한 무손실 오디오 압축 파일 형식. 빠르고 강력하며 손실이 없는 압축 파일 형식으로 고음질의 음악을 제공한다. 압축된 데이터에 연주를 위한 헤더와 메타데이터를 포함하고 있어 압축 해제 없이 오디오 재생이 가능하다.
"API 후킹, Application Programming Interface hooking, API hooking",,"컴퓨터의 특정 프로그램이나 시스템 전역에서 API가 호출되는 것을 가로채는 것. API 호출을 가로채면, 프로그램이 어떤 식으로 동작하는지 알 수 있고, 또 주어진 인자 또는 리턴값을 수정하여 프로그램의 동작을 제어할 수도 있다. 윈도즈 운영체제의 API 후킹을 이용한 예로서 아래아 한글사전과 같은 전자 사전 프로그램이 윈도즈 응용 프로그램에서 마우스로 선택한 단어를 인식할 수 있는 것을 들 수 있다. API 후킹은 특정 API만 후킹하는 정적 API 후킹과 다수의 API를 후킹하였다가 런타임(run-time)에서 사용자의 선택에 따라 해당 API를 출력하는 동적 API 후킹이 있다."
