word,synonym,description
"하겔버거 부호, -符號, Hagelbarger code",,"하겔버거가 제창한 버스트 오류 정정 부호. 집단 오류가 이따금씩 발생할 때 이것을 정정할 수 있도록 한 것으로, 다단 자리 옮김 레지스터의 처음 단에서 정보를 입력하여 마지막 단에서 뽑아내는 출력단 1과, 임의의 단끼리를 2진법 덧셈 회로로 가한 출력단 2를 준비하고, 정보 비트열을 처음 단부터 입력하면서 출력단 1, 2를 서로 번갈아 절환하여 출력했을 때 얻어지는 부호다. 이 부호화법은 정보를 하나로 된 블록으로 분할하여 검사할 수 없다."
"하나로 합침, -合-, coalesce",,구조화 조회 언어(SQL)의 하나로서 여러 인수 중에 영(null)이 아닌 수나 식을 찾아 연산 처리하는 구문 명령어. tablespace의 인접 빈칸을 이 기능으로 합병하면 처리 시간을 절약할 수 있다.
"하나 증가 주소 매김, -增加住所-, one-ahead addressing",,"현재 실행 중인 주소의 하나 증가(다음에 실행하는) 주소를 매김하는 것. 통상 2개의 주소부를 갖는 명령 형식으로서, 하나의 주소로 연산에 쓰이는 피연산자를 지정하고, 다른 하나의 주소는 다음에 실행하는 명령의 기억 장소를 나타낸다. 예를 들면, 명령이 회전 자기 드럼에 기억되어 있는 경우 등이다."
"하니넷, Honeynet",,"다수의 하니팟(honey pot)으로 구성된 네트워크. 해커들의 행동과 방법을 파악하여 다양한 해킹에 대처하기 위하여 구축된 네트워크로, 해커들의 행동과 방법에 대한 정보 수집은 물론, 해커들을 유인한 후 실제 서비스 네트워크 및 자원과 격리한 후 여러 시스템에 대한 공격 패턴을 알아낼 수가 있다. 공격자들은 하니넷을 정상 네트워크로 인식하기 때문에 조직 내의 모든 서버와 네트워크들에 대해 어떠한 의심을 가지지 않고 각각 어떤 기능을 수행하고 있다고 생각하게 된다."
"하둡, High-Availability Distributed Object-Oriented Platform, Hadoop",,"오픈 소스 기반 분산 컴퓨팅 플랫폼. 일반 PC급 컴퓨터들로 가상화된 대형 스토리지를 형성하고 그 안에 보관된 거대한 데이터 세트를 병렬로 처리할 수 있도록 개발된 자바 소프트웨어 프레임워크로 구글, 야후 등에 적용되고 있다."
"하드 드라이브 분쇄기, -粉碎機, Hard drive shredder",,"하드 드라이브 데이터가 복구될 수 없도록 드라이브를 분쇄하는 기계 장치. 드라이브상의 데이터 비트는 포메팅이나 다른 데이터로 덮어씌우기 해도 파괴되지 않고, 하드 드라이브에 구멍을 내도 절단되지 않은 트랙이 남아 있게 된다. 가장 효과적인 방법은 드라이브를 가루로 분쇄하는 것이다."
"하드 디스크, Hard Disk, HD",,"알루미늄 또는 플라스틱판의 표면에 자기 물질을 얇게 입힌 것으로 보통 5.25인치(약 13.34cm)의 데이터 기록면을 갖고 있는 디스크. 크기와 모양이 레코드판과 같다. 이 디스크는 3,600rpm의 빠른 속도로 회전하며 전송 속도는 초당 5.6MB 정도이다. 용량은 최고 3.19~11.5MB로서 대용량이며, 대규모의 마이크로컴퓨터 시스템에서 많이 사용된다."
"하드 디스크 드라이브, Hard Disk Drive, HDD",,"하드 디스크의 위치, 읽기, 쓰기, 저장 등을 제어하는 기계 장치. 회전 속도는 데이터의 입출력 속도를 결정짓는 중요한 요소로서 이것이 높을수록 고급 제품이고 가격도 비싸다. 보통 3,600, 4,500, 5,400, 7,200rpm이다."
"하드 디스크 시스템, hard disk system",,"데이터나 프로그램의 저장을 위한 하드 디스크와의 접속에 필요한 하드웨어 시스템. 플로피 디스크 시스템과 비교할 때 빠른 접근 시간, 좀 더 큰 기억 용량과 정확성을 갖는다."
"하드 리턴, hard return",,커서 또는 프린터를 다음 행의 선두로 이동시키기 위해 프로그램에 보내지는 신호. 문서 처리 프로그램에서는 행이 자동적으로 페이지의 마진(margin)에 맞도록 행이 바뀌어 시작되므로 하드 리턴은 단락을 끝내기 위해 쓰인다. 워드랩(wordwrap) 기능이 없는 텍스트 입력 프로그램에서는 각 행을 끝내기 위해 필요하다.
