"바꿔 놓기, switch-over",,"실시간 처리에 사용되는 어떤 장비에서 고장이 발생할 때, 이 장비가 양방향 방식일 경우 다른 쪽 장비로 옮기는 작업. 그 장비는 파일일 수도 있고, 통신 선로일 수도 있으며 컴퓨터일 수도 있다. 또한 교환 과정은 프로그램 제어에 의해 자동적으로 일어날 수도 있고 수동으로 일어날 수도 있다."
"바리오미터, variometer",,"오메가 신호 포맷에 따라 여러 주파수의 전파를 시분할하여 1개의 안테나에 효율적으로 급전하기 위하여 헬릭스 코일과 조합하여 사용하는 것으로서, 안테나 출력을 모니터하여 작동하는 제동 제어계(servo system)에서 구동됨으로써 항상 안테나 회로를 동조 상태로 유지하는 동조용 가변 인덕턴스."
"바운스, bounce",동의어 : 반송,전자 우편 전송 과정에서 오류가 발생하면 전자 우편의 일부분이 되돌아오는 현상. 전자 우편이 마치 공처럼 퉁긴다는 표현에서 유래한다. 수식측 전자우편함이 포화되어 반송되는 소프트 반송(soft bounce)과 수신측 주소 오류로 인한 하드 반송(hard bounce)가 있다.
"바운스 메시지, bounce message",,"상대편 전자 우편 주소가 정확하지 않거나 에러가 발생하여 전자 우편이 수취인에게 도달하지 못한 경우, 전자 우편이 도착하지 못했음을 발신자에게 알려 주는 메시지. 보낸 전자 우편이 도착했는지의 여부를 알 수 있어 편리하다."
"바운스 백, Bounce Back",,"사용자가 손으로 기기 화면을 스크롤을 할 때, 가장 마지막에 도달할 경우 다시 반대 방향으로 튕김으로써 해당 페이지가 끝부분에 도달했음을 알려주는 기술. 바운스 백 특허는 러버 밴딩(Rubber-banding)이라고도 불린다."
"바이너리 CDMA, 二進-, binary CDMA",,"기존의 DS/CDMA 기술에 의해 발생되는 다양한 레벨값을 갖는 아날로그 신호 크기 변화를 이진화(binary)시켜 외형적으로는 시분할 다중 접속(TDMA) 신호 파형과 같은 모양으로 만드는 모뎀 기술. 파형 형태가 이진화되므로 신호 처리 과정이 단순해지고, 전송계의 선형성도 요구되지 않으므로 전체적인 시스템 구조가 간단해지며, 기존의 TDMA RF로도 멀티 채널 부호 분할 다중 접속(CDMA) 신호 전송이 가능하므로 블루투스나 공중(公衆) 무선 랜 서비스(WLAN)용 RF 모듈을 이용한 저전력, 소형화 시스템 개발이 추진되고 있다."
"바이러스, virus",,자기 자신을 복제할 수 있는 기능을 가지고 있으며 컴퓨터 프로그램이나 실행 가능한 부분을 변형시키고 그곳에 자신 또는 자신의 변형을 복사해 넣는 명령어들의 조합.
"바이러스 검색기, -檢索機, virus scanner",,"이미 알려진 바이러스를 부트 섹터, 메모리, 디스크의 마스터 부트, 파일 등에서 검색하는 바이러스 방역 기본 프로그램. 바이러스 검색기라고 불린다. 바이러스 정보를 보관하고 있는 자료 파일에 기록되지 않은 새로운 바이러스나 변종 바이러스는 검색되지 않으므로 정보 파일을 수시로 갱신(update)하여야 한다."
"바이러스 서명, -署名, virus signature",,바이러스의 고유한 비트열이나 이진수의 패턴. 특정 바이러스를 검색ㆍ식별하기 위해 사용되는 지문과 같은 것이다. 바이러스 백신 프로그램에서 바이러스를 검색하기 위해 사용된다.
"바이러스 월, virus wall",,"바이러스 백신 엔진을 이용, 네트워크를 통과하는 콘텐츠 중 바이러스나 웜 등 악성 프로그램을 검사하고 차단 및 치료하는 바이러스 방지 솔루션."
"바이럴 마케팅, Viral Marketing",,네티즌들이 자발적으로 기업의 이미지나 제품을 홍보하는 마케팅. 바이럴 마케팅은 바이러스처럼 확산된다는 의미에서 유래되었으며 꼬리에 꼬리를 물고 입에서 입으로 홍보되는 수단이기도 하다. 즉 자발적으로 다른 소비자에게 기업이나 기업의 제품을 직접 커뮤니케이션하도록 유도하는 것으로 주로 인터넷을 이용한 마케팅 방법이다. 예전에는 인터넷 댓글이 주를 이루었지만 요즘에는 사용자 제작 콘텐츠(UCC)나 블로깅 등 보다 적극적이고 다양한 방법으로 확대되고 있는 추세다.
"바이럿 바이러스, Virut Virus",,"메모리에 상주해 시스템에 존재하는 실행 파일(EXE file)을 감염시키는 파일 바이러스. 명령 제어 서버에 접속하여 하달되는 공격 명령에 의하여 각종 악성 행위를 수행한다. 시스템에 있는 실행 파일(.exe)과 스크린 세이버 파일(.scr)에 감염되며, 자체적인 확산 기능을 갖고 있지는 않지만 피투피(P2P) 파일 내려받기나 웹 사이트 방문을 통해 확산되고 있다. 바이럿 바이러스를 예방하기 위해서는 네트워크 공유 폴더 파일, P2P 공유 파일, 이동식 유에스비(USB) 등 외부로부터 입수된 파일은 사용 전에 반드시 백신으로 점검하여야 한다."
"바이로트로닉스, Virotronics",,바이러스를 이용해 압전소자 등 다양한 전기전자 재료를 만들어내는 기술. 바이러스(Virus)와 전자공학의 합성어로 인체에 무해한 바이러스를 활용해 압력을 전기로 바꾸는 압전소자 등 다양한 전기전자 재료를 만드는 기술이 개발되고 있다. 바이러스가 전기를 만드는 자연의 지혜를 모방하는 바이러스 전자공학을 뜻한다.
"바이어스, bias",,"트랜지스터와 진공관 등의 전자 소자에 소정의 동작점을 주기 위하여 전극에 일정한 직류 전압이나 전류를 가하는 것, 또는 그와 같이 하여 가하는 직류 전압이나 전류. 전압을 가리키는 경우는 바이어스 전압, 전류를 가리키는 경우는 바이어스 전류라 한다."
"바이어스 일그러짐, bias distortion",동의어 : 편향 일그러짐,"마크 또는 스페이스 중 한 쪽의 길이가 균일하게 이론적 펄스 폭보다 길거나 짧게 되는 경우, 실제의 펄스 폭과 일치하지 않는 부분. 바이어스 일그러짐은 다음 식으로 표시된다."
