word,synonym,description
"E-1 회선, -回線, E-1 circuit",,전송 속도 2.048Mbps의 디지털 회선 또는 전용선. 현행 유럽의 디지털 계층(European Digital Hierarchy)에서 30개의 DS-0 회선(64kbps)을 다중화한 DS-1 회선을 E-1 회선이라고 흔히 부른다.
"E-2 회선, -回線, E-2 circuit",,전송 속도 8.448Mbps의 디지털 회선 또는 전용선. 현행 유럽의 디지털 계층(European Digital Hierarchy)에서 4개의 DS-1 회선(2.048Mbps) 또는 120개의 DS-0 회선(64kbps)을 다중화한 DS-2 회선을 E-2 회선이라고 흔히 부른다.
"E-3 회선, -回線, E-3 circuit",,전송 속도 34.368Mbps의 디지털 회선 또는 전용선. 현행 유럽의 디지털 계층에서 4개의 DS-2 회선(8.448Mbps) 또는 480개의 DS-0 회선(64kbps)을 다중화한 DS-3 회선을 E-3 회선이라고 흔히 부른다.
"E-4 회선, -回線, E-4 circuit",,"전송 속도 139.264Mbps의 디지털 회선 또는 전용선. 현행 유럽의 디지털 계층에서 4개의 DS-3 회선(34.368Mbps) 또는 1,920개의 DS-0 회선(64kbps)을 다중화한 DS-4 회선을 E-4 회선이라고 흔히 부른다."
"E-5 회선, -回線, E-5 circuit",,"전송 속도 565.148Mbps의 디지털 회선 또는 전용선. 현행 유럽의 디지털 계층에서 4개의 DS-4 회선(139.264Mbps) 또는 7,680개의 DS-0 회선(64kbps)을 다중화한 DS-5 회선을 E-5 회선이라고 흔히 부른다."
"ECC 메모리, error check and correct memory",,"데이터를 기억 장치(memory)에 읽고 쓰는 과정에서 발생하는 오류 데이터를 찾아내어 수정이 가능한 램. 하드웨어적인 에러가 발생한 경우 램에 잘못된 값이 쓰여지는 경우가 있는데 이러한 에러를 수정할 수 있다. 3D 그래픽과 같은 작업을 위한 워크스테이션 컴퓨터, 고성능 서버 컴퓨터 등에 사용되고 있으며, 일반 데스크톱 컴퓨터에는 거의 사용되지 않는다."
"EDP 감사인 협회, -監査人協會, EDP Auditors Association, EDPAA",,전자 정보 처리 시스템(EDPS) 감사 요원의 기술 향상과 사회적 지위 확립을 목적으로 1969년에 설립한 국제 조직. 미국에 본부를 두고 있으며 1994년에 명칭을 정보시스템감사통제협회(ISACA)로 변경하였다.
"EMP 공격, -攻擊, Electromagnetic Pulse attack, EMP attack",,"고강도의 전자파 펄스로 전자장비를 무력화시키는 공격. 핵폭발에 의해 발생하는 NEMP(nuclear EMP)와 핵폭탄을 사용하지 않는 NNEMP(non-nuclear EMP)로 구분된다. 고공에서 핵폭탄이 폭발하면 감마선이 방출되는데, Nuclear EMP는 이때 방출된 감마선이 대기를 이온화하여 강한 전자기 펄스를 발생시켜 짧은 전자기 펄스를 방출하는 E1, E2 성분과 수십에서 수백 초 동안 지속되는 E3성분으로 분류된다. E1, E2 펄스는 매우 짧은 시간 방출되지만 강력한 힘을 갖고 있다. 비록 펄스는 수백 나노 초밖에 지속하지 않지만 순간적인 출력은 5만 볼트에 달해 전자 장비를 무력화하기에 충분하다. E3는 태양 폭발에 의해 발생하는 지자기 효과와 비슷하다. 최근에는 핵확산에 대한 인류의 우려가 증대됨에 따라 핵을 사용하지 않고 강력한 전자기파를 발생시키는 비핵(Non nuclear) EMP 발생기술에 대해 관심이 높아지고 있다. 비핵 EMP탄은 핵을 사용하지 않고 핵 효과를 발생시키는 무기로 고폭 화약의 폭발에너지를 이용해 발생시킨 강력한 전자기파를 안테나를 통해 방사함으로써 적 첨단무기의 전자부품을 순식간에 파괴하거나 오동작시킨다. 이러한 EMP탄은 폭발 시 약 180만 암페어의 전류와 5 GW의 강력한 출력 펄스를 생성하며, 이는 번개보다 약 100배 강한 전력이고 정밀유도폭탄과 비교시 약 30배 넓은 지역에 피해를 줄 수 있다. 특히 지하 수백 미터의 적 표적에도 환기통이나 전기 케이블 등을 통해 유입되기 때문에 피해 효과는 더욱 크다. 미사일이나 항공기 투하용 폭탄에 장착된 EMP 탄은 적의 통신망이나 지휘통제체계 등을 무력화시키며, 또한 휴대용 EMP탄은 적 후방이나 민간인 밀집지역, 첨단장비를 운용하고 있는 지역을 공격해 장비운용 중단 및 주민의 생활을 극도로 불편케 함으로써 적 사기 저하 및 전쟁 조기 종결을 유도할 수 있다."
"EMV 카드, Europay·Mastercard·Visa Card, EMV card",,"유로페이(Europay), 마스터카드(MasterCard), 비자(VISA) 카드 등 세계 3대 신용 카드 회사가 공동으로 제정한 IC 카드 관련 국제 기술 표준. 이름은 3개사의 머리글자를 따서 붙여졌다. 글로벌 신용 카드 회사 대부분이 EMV 표준을 따른다. EMV 표준은 IC 카드를 대표하는 사실상의 표준이다."
"EOS 메모리, ECC-On-SIMM memory, EOS memory",,SIMM(single in-line memory module)에 들어 있는 데이터 오류 검사 및 정정(ECC) 기술. ECC와 달리 EOS는메모리 제어기에 데이터를 보내기 전에 오류 검사와 정정을 직접 수행한다. EOS 메모리 모듈은 일반적으로 ECC를 사용할 수 없는 시스템에서 ECC의 장점을 채용하기 위해 사용된다. ECC에 비해 비용 및 시간이 많이 들며 신뢰도도 떨어진다. →ECC 메모리.
